NAME,AXL+SIGLEC6+ dendritic cell,Acinar cell,Adenocarcinoma stem-like cell,Adipocyte,Adipocyte progenitor cell,Alpha cell (α cell),Alveolar cell Type 1,Alveolar cell Type 2,Alveolar epithelial cell Type 2,Alveolar macrophage,Alveolar type II (ATII) cell,Astrocyte,B cell,Basal cell,Basophil,Beta cell(β cell),Brush cell (Tuft cell),CD14+ monocyte,CD141+CLEC9A+ dendritic cell,CD1C+_A dendritic cell,CD1C+_B dendritic cell,CD1C-CD141- dendritic cell,CD4+ T cell,CD8+ T cell,Cancer cell,Cancer stem cell,Cancer-associated fibroblast,Capillary cell,Cardiomyocyte,Cholangiocyte,Ciliated cell,Ciliated epithelial cell,Circulating fetal cell,Classical monocyte,Club cell (Clara cell),Connecting tubular cell,Conventional dendritic cell 2b(cDC2b),Cytotoxic CD4+ T cell,Cytotoxic T cell,DCLK1+ progenitor cell,Dendritic cell,Descending thin limb of LOH cell,Ductal cell,Effector CD8+ memory T (Tem) cell,Embryonic stem cell,Endothelial cell,Enterocyte progenitor cell,Enteroendocrine cell,Eosinophil,Epiblast cell,Epithelial cell,Epithelial progenitor cell,Epithelial-mesenchymal cell,Excitatory neuron,Exhausted CD4+ T cell,Exhausted CD8+ T cell,Exhausted T(Tex) cell,FGFR1HighNME5- epithelial cell,Fibroblast,Fibrocartilage chondrocyte,Follicular B cell,Germinal center B cell,Glial cell,Glomerular endothelial cell,Goblet cell,Gonadal endothelial cell,Gonadal mitotic phase fetal germ cell,Granulocyte-monocyte progenitor,Granulosa cell,Hematopoietic cell,Hematopoietic progenitor cell,Hematopoietic stem cell,Hepatic stellate cell,Hepatocyte,Homeostatic chondrocyte,Idiopathic pulmonary fibrosis myofibroblast,Immature B cell,Immature dendritic cell,Immune cell,Interneuron,Interstitial cell,Ionocyte cell,LGR5+ stem cell,Lake et al.Science.Ex4,Lake et al.Science.Ex6,Lake et al.Science.Ex8,Leukocyte,Leydig precursor cell,Limbal stem cell,Liver bud hepatic cell,Luminal cell,Luminal epithelial cell,Luminal progenitor cell,Lung epithelial cell,Lymphatic endothelial cell,Lymphocyte,Lymphoid cell,Lymphoid-primed multipotent progenitor cell(LMPP),M1 macrophage,M2 macrophage,MKI67+ progenitor cell,Macrophage,Mast cell,Megakaryocyte,Meiotic prophase fetal germ cell,Melanocyte,Memory B cell,Memory CD4+ T cell,Memory CD8+ T cell,Memory T cell,Mesangial cell,Mesenchymal cell,Mesenchymal stem cell,Mesenchymal stromal cell,Mesothelial cell,Microglial cell,Mitotic arrest phase fetal germ cell,Mitotic fetal germ cell,Monocyte-derived macrophage,Mononuclear phagocyte,Morula cell (Blastomere),Mucosal-associated invariant T cell,Multilymphoid progenitor cell,Mural cell,Myeloid cell,Myeloid dendritic cell,Myeloid derived suppressor cell (MDSC),Myoblast,Myofibroblast,Naive B cell,Naive CD4+ T cell,Naive CD8+ T cell,Natural killer T(NKT) cell,Natural killer cell,Natural regulatory T cell,Nephron epithelial cell,Nephron progenitor cell,Neural progenitor cell,Neural stem cell,Neuroendocrine cell,Neuron,Neutrophil,Oligodendrocyte,Oligodendrocyte precursor cell,Oligodendrocyte progenitor cell,Oocyte,Oogenesis phase fetal germ cell,Osteoblast,Osteocyte,PROCR+ progenitor cell,Pan-endothelial cell,Pancreatic polypeptide cell,Paneth cell,Pelvic epithelial cell,Pericyte,disease_ontology_label
adjpvalog.V1,-0.000144262,1.909959585,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,13.28771238,13.28771238,-0.000144262,13.28771238,0.00129901,-0.000144262,0.701107119,-0.000144262,0.273866327,-0.000144262,-0.000144262,0.00853711,-0.000144262,3.170069278,0.007086582,-0.000144262,-0.000144262,0.021657911,0.079935415,1.129418276,0.05574124,-0.000144262,1.693854441,-0.000144262,2.987359819,0.011442549,-0.000144262,0.734323075,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.931810741,1.426237704,-0.000144262,0.910230691,-0.000144262,0.109203134,-0.000144262,3.209561572,-0.000144262,-0.000144262,2.271600541,1.258080052,0.164722657,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.177555361,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.310969273,1.679919738,0.002743728,-0.000144262,0.145445741,-0.000144262,-0.000144262,-0.000144262,0.434207879,-0.000144262,2.698061233,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.040823363,-0.000144262,0.004189894,6.368849142,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.004189894,0.69408783,-0.000144262,-0.000144262,13.28771238,-0.000144262,0.907521913,-0.000144262,1.820616346,-0.000144262,-0.000144262,0.659494699,0.63017062,0.53094759,-0.000144262,0.009989098,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.380633945,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.043794624,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.899156876,0.261707737,-0.000144262,1.240929409,-0.000144262,-0.000144262,2.679457558,1.213905532,-0.000144262,-0.000144262,0.033421874,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.790359486,0.684781589,-0.000144262,-0.000144262,0.300270707,0.034899138,0.043794624,-0.000144262,-0.000144262,-0.000144262,-0.000144262,3.735043282,2.107181572,-0.000144262,-0.000144262,Control
adjpvalog.V2,0.002743728,0.300270707,-0.000144262,2.998846305,2.016833084,0.145445741,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.00129901,0.502055578,-0.000144262,-0.000144262,0.005637511,-0.000144262,0.224148769,2.581216361,1.058593159,0.009989098,0.002743728,-0.000144262,0.021657911,0.204066853,0.63017062,0.249650759,2.170718702,-0.000144262,-0.000144262,2.18376895,0.005637511,1.022976578,-0.000144262,-0.000144262,-0.000144262,0.01435385,-0.000144262,1.904548119,0.246224336,-0.000144262,-0.000144262,-0.000144262,0.073848727,-0.000144262,-0.000144262,4.961282892,-0.000144262,-0.000144262,0.491875639,-0.000144262,0.028999139,1.780413255,-0.000144262,-0.000144262,-0.000144262,1.530739153,0.632405278,0.015811707,-0.000144262,-0.000144262,-0.000144262,1.514161033,-0.000144262,0.00129901,-0.000144262,0.004189894,-0.000144262,-0.000144262,6.493296513,1.959598485,1.621044539,-0.000144262,-0.000144262,0.461759842,-0.000144262,-0.000144262,2.425850039,0.002743728,0.069300504,0.00129901,1.347031731,-0.000144262,1.755843604,2.418118536,-0.000144262,-0.000144262,-0.000144262,0.005637511,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.965220842,-0.000144262,1.372953541,1.795358434,1.014208146,1.022976578,0.378756902,0.36011958,0.487823691,0.009989098,1.247765219,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.143850898,0.169582402,-0.000144262,0.167960667,-0.000144262,0.01435385,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.102991974,-0.000144262,1.712645915,-0.000144262,0.249650759,2.203568369,0.864859184,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.257735033,-0.000144262,-0.000144262,0.042308229,0.012897465,0.026058164,0.00129901,1.017125039,0.594878965,-0.000144262,2.230397502,0.021657911,0.076888861,0.030471878,0.746373722,0.483783092,2.736004118,-0.000144262,-0.000144262,1.585972741,-0.000144262,1.585972741,Control
adjpvalog.V3,-0.000144262,1.485599961,-0.000144262,-0.000144262,-0.000144262,0.015811707,-0.000144262,13.28771238,13.28771238,-0.000144262,13.28771238,-0.000144262,-0.000144262,0.465739144,-0.000144262,0.314553165,0.007086582,-0.000144262,0.275611663,-0.000144262,2.076432432,0.00853711,-0.000144262,2.285600603,0.028999139,0.012897465,-0.000144262,0.420626733,-0.000144262,1.505942868,-0.000144262,4.917024973,-0.000144262,-0.000144262,0.80818471,0.177718534,-0.000144262,-0.000144262,-0.000144262,1.399349638,2.230397502,-0.000144262,1.736484776,-0.000144262,-0.000144262,-0.000144262,2.497363883,-0.000144262,-0.000144262,-0.000144262,0.770781258,0.581864036,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.652447723,1.477542442,0.199089749,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.862234192,0.007086582,-0.000144262,0.107647835,-0.000144262,-0.000144262,-0.000144262,0.748795977,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.095265439,-0.000144262,0.024589921,5.636660688,-0.000144262,2.804904423,2.0344558,-0.000144262,-0.000144262,-0.000144262,0.00129901,1.148480809,-0.000144262,0.031946122,-0.000144262,-0.000144262,2.425850039,-0.000144262,1.119980638,2.410428246,1.489645659,0.83882175,0.51230786,0.179351281,-0.000144262,0.011442549,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.058743416,0.052745299,-0.000144262,-0.000144262,-0.000144262,0.005637511,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.054242492,-0.000144262,1.795358434,-0.000144262,-0.000144262,0.215747307,0.43225987,-0.000144262,-0.000144262,0.002743728,-0.000144262,2.380070576,-0.000144262,-0.000144262,-0.000144262,0.069300504,0.533033616,0.005637511,0.469729452,0.795608837,-0.000144262,-0.000144262,0.028999139,0.099896392,0.021657911,-0.000144262,0.453834015,-0.000144262,-0.000144262,1.254633573,1.693854441,-0.000144262,1.321567466,Control
adjpvalog.V4,-0.000144262,1.656990217,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,13.28771238,13.28771238,-0.000144262,13.28771238,-0.000144262,0.00129901,0.416769773,-0.000144262,0.579706251,0.024589921,-0.000144262,0.033421874,-0.000144262,-0.000144262,0.028999139,-0.000144262,2.410428246,0.030471878,0.049755566,-0.000144262,0.416769773,-0.000144262,0.443987573,-0.000144262,2.27858359,-0.000144262,-0.000144262,0.434207879,-0.000144262,-0.000144262,0.815783192,-0.000144262,1.573037552,1.915391425,-0.000144262,0.734323075,0.076888861,0.051249658,-0.000144262,1.666118341,-0.000144262,-0.000144262,1.825721429,0.554061463,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.675304586,1.959598485,0.414845153,0.004189894,-0.000144262,-0.000144262,-0.000144262,2.244001516,0.823421906,-0.000144262,-0.000144262,0.107647835,-0.000144262,-0.000144262,-0.000144262,1.780413255,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.002743728,-0.000144262,0.002743728,2.09480316,-0.000144262,2.856214775,3.106560123,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,13.28771238,-0.000144262,2.53032237,-0.000144262,1.830844641,2.223643299,-0.000144262,0.543509228,0.210729814,0.500013836,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.161491897,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.002743728,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.046772016,-0.000144262,1.741300184,-0.000144262,-0.000144262,-0.000144262,1.418504129,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.497363883,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.022976578,0.027527902,0.985359053,0.619048956,-0.000144262,-0.000144262,0.161491897,0.078411334,0.225834948,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.775465737,-0.000144262,-0.000144262,Control
adjpvalog.V5,0.00129901,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.063258426,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.00129901,0.554061463,-0.000144262,-0.000144262,0.04826302,-0.000144262,0.00853711,-0.000144262,-0.000144262,0.012897465,-0.000144262,-0.000144262,0.04826302,0.027527902,0.891375185,-0.000144262,1.670704152,-0.000144262,0.009989098,1.675304586,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.378756902,-0.000144262,1.332425734,2.285600603,1.485599961,-0.000144262,0.239395805,0.113879116,0.002743728,2.987359819,5.153286059,-0.000144262,-0.000144262,0.948697511,0.327167366,-0.000144262,2.661090727,-0.000144262,-0.000144262,-0.000144262,2.547088335,0.648145561,0.009989098,1.643405418,-0.000144262,1.84114597,3.364384894,-0.000144262,0.015811707,-0.000144262,0.084517342,-0.000144262,-0.000144262,-0.000144262,1.703219583,-0.000144262,5.49980982,-0.000144262,0.291415443,-0.000144262,2.522011892,2.598587975,0.020194138,-0.000144262,0.00129901,-0.000144262,-0.000144262,3.606473968,0.395738861,-0.000144262,-0.000144262,0.358269022,0.004189894,-0.000144262,-0.000144262,-0.000144262,-0.000144262,6.947862377,2.365127977,-0.000144262,1.067636409,-0.000144262,1.485599961,0.921116953,0.40908665,0.912944565,-0.000144262,0.00129901,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.388166635,0.36011958,0.078411334,-0.000144262,-0.000144262,-0.000144262,0.002743728,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.052745299,-0.000144262,1.755843604,-0.000144262,-0.000144262,-0.000144262,0.61241688,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.107181572,-0.000144262,-0.000144262,-0.000144262,0.004189894,-0.000144262,0.033421874,1.251195309,0.921116953,-0.000144262,-0.000144262,0.002743728,0.021657911,0.046772016,-0.000144262,-0.000144262,-0.000144262,0.78314164,-0.000144262,1.830844641,-0.000144262,0.605815153,Control
adjpvalog.V6,-0.000144262,1.296544873,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,13.28771238,13.28771238,-0.000144262,13.28771238,0.004189894,-0.000144262,0.438111805,-0.000144262,0.405260378,0.04826302,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.988218141,-0.000144262,0.485801977,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,4.262572817,-0.000144262,0.371273057,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.434012959,1.473530495,2.119667111,-0.000144262,0.004189894,-0.000144262,0.002743728,3.119040261,-0.000144262,-0.000144262,-0.000144262,0.785626476,0.199089749,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.666347285,0.169582402,-0.000144262,1.332425734,-0.000144262,-0.000144262,-0.000144262,2.564051435,0.026058164,-0.000144262,0.095265439,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.942861696,0.061751852,-0.000144262,0.00129901,1.264997807,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,13.28771238,-0.000144262,0.856998494,-0.000144262,1.965220842,-0.000144262,-0.000144262,0.80818471,0.118570303,0.20240591,-0.000144262,0.011442549,-0.000144262,1.810460056,-0.000144262,0.976815631,-0.000144262,-0.000144262,-0.000144262,0.107647835,-0.000144262,-0.000144262,-0.000144262,0.033421874,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.049755566,-0.000144262,1.332425734,-0.000144262,-0.000144262,-0.000144262,0.562559176,0.888701547,0.599243497,0.033421874,-0.000144262,1.970865196,-0.000144262,-0.000144262,-0.000144262,0.069300504,-0.000144262,0.058743416,0.78314164,0.788115598,-0.000144262,-0.000144262,0.045282552,0.124849042,0.061751852,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.629947344,-0.000144262,-0.000144262,Control
adjpvalog.V7,0.084517342,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.00129901,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.007086582,-0.000144262,0.007086582,-0.000144262,-0.000144262,0.00129901,-0.000144262,1.70792505,0.002743728,0.210729814,-0.000144262,0.166340754,-0.000144262,-0.000144262,-0.000144262,2.271600541,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.117004878,-0.000144262,1.851521384,-0.000144262,-0.000144262,-0.000144262,0.086047891,-0.000144262,0.011442549,2.616171313,4.105318026,-0.000144262,-0.000144262,1.410811789,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.573037552,0.689427205,0.030471878,-0.000144262,-0.000144262,1.261534783,-0.000144262,-0.000144262,0.012897465,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.300093068,-0.000144262,-0.000144262,0.00129901,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.00129901,-0.000144262,-0.000144262,4.470728756,1.514161033,-0.000144262,-0.000144262,-0.000144262,0.00129901,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.780413255,-0.000144262,-0.000144262,-0.000144262,0.872762938,1.220614194,0.210729814,0.321747769,-0.000144262,0.005637511,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.222464558,0.575400338,0.030471878,0.143850898,-0.000144262,0.01435385,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.387977837,0.031946122,1.203900672,1.70792505,-0.000144262,-0.000144262,-0.000144262,0.332607399,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.599024956,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.401444227,0.005637511,0.902119566,0.554061463,-0.000144262,-0.000144262,0.012897465,0.028999139,0.043794624,-0.000144262,-0.000144262,-0.000144262,0.316348455,-0.000144262,1.703219583,-0.000144262,0.896737373,COVID-19
adjpvalog.V8,-0.000144262,1.110604338,-0.000144262,-0.000144262,-0.000144262,0.15344651,-0.000144262,13.28771238,13.28771238,-0.000144262,13.28771238,-0.000144262,-0.000144262,0.77571271,-0.000144262,0.237693711,0.017271039,-0.000144262,0.212400373,3.222969615,2.09480316,0.002743728,-0.000144262,2.040378202,0.027527902,0.063258426,1.282438723,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.661090727,-0.000144262,-0.000144262,1.258080052,-0.000144262,-0.000144262,0.652674508,-0.000144262,1.289474558,2.082530053,-0.000144262,1.703219583,0.605815153,0.090649304,-0.000144262,3.660178495,-0.000144262,-0.000144262,1.820616346,0.843991779,-0.000144262,-0.000144262,1.647919486,-0.000144262,-0.000144262,1.741300184,0.815783192,1.310790312,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.621044539,0.002743728,-0.000144262,0.095265439,-0.000144262,-0.000144262,-0.000144262,1.207227922,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.132736089,-0.000144262,0.00129901,4.319045586,0.894053788,1.581648112,3.183113626,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,13.28771238,-0.000144262,2.4336232,-0.000144262,1.481565576,-0.000144262,0.929335899,0.741541377,0.256528117,0.426431576,-0.000144262,0.011442549,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.159879227,0.089113868,-0.000144262,-0.000144262,-0.000144262,0.01435385,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.457197173,0.021657911,-0.000144262,2.040378202,-0.000144262,-0.000144262,-0.000144262,0.528864576,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.350338559,-0.000144262,-0.000144262,-0.000144262,0.099896392,-0.000144262,0.015811707,0.923851403,0.739131261,-0.000144262,-0.000144262,0.096807439,0.078411334,0.033421874,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.755356454,1.953997953,-0.000144262,1.970865196,Control
adjpvalog.V9,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.589876022,-0.000144262,-0.000144262,-0.000144262,0.26864295,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.002743728,-0.000144262,2.046325016,0.009989098,-0.000144262,0.77571271,-0.000144262,-0.000144262,-0.000144262,0.551944832,-0.000144262,-0.000144262,0.007086582,3.589007713,0.002743728,0.373140382,-0.000144262,0.636885005,0.30918066,1.244343266,-0.000144262,1.184096723,0.058743416,-0.000144262,-0.000144262,0.405260378,-0.000144262,-0.000144262,4.439089439,-0.000144262,0.32355204,-0.000144262,1.285952351,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.51230786,0.648145561,0.00129901,2.113410835,-0.000144262,0.926591045,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.023123171,-0.000144262,0.361972515,-0.000144262,-0.000144262,-0.000144262,5.566613191,-0.000144262,-0.000144262,2.028557611,-0.000144262,2.497363883,-0.000144262,-0.000144262,0.028999139,-0.000144262,-0.000144262,-0.000144262,5.054092703,-0.000144262,-0.000144262,-0.000144262,0.00129901,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.564051435,3.057691944,0.780661077,0.411003598,0.197434523,0.129576094,0.012897465,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.451859343,0.190832543,0.235993622,-0.000144262,-0.000144262,0.092186375,-0.000144262,0.002743728,-0.000144262,0.5081982,-0.000144262,-0.000144262,-0.000144262,0.01435385,-0.000144262,1.522426281,2.625044004,-0.000144262,-0.000144262,0.012897465,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.785377799,0.015811707,-0.000144262,-0.000144262,0.004189894,-0.000144262,-0.000144262,0.30918066,0.918387677,-0.000144262,-0.000144262,0.040823363,-0.000144262,0.043794624,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.717382279,-0.000144262,0.483783092,COVID-19
adjpvalog.V10,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.314015013,0.017271039,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,3.986216185,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.169582402,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.007086582,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.00129901,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.589876022,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.009989098,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.302048301,-0.000144262,-0.000144262,0.912944565,-0.000144262,0.01435385,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.976531719,0.107647835,-0.000144262,2.076432432,-0.000144262,-0.000144262,-0.000144262,1.061601281,-0.000144262,0.287888501,-0.000144262,-0.000144262,2.465141549,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,1.014208146,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,0.012897465,-0.000144262,-0.000144262,-0.000144262,-0.000144262,-0.000144262,2.425850039,-0.000144262,1.247765219,COVID-19
